id,title,outcome,featureArea,wave,targetRelease,dependsOn,acceptance,sourceRefs,decisionRefs,riskEvidenceNeeds,status,evidenceRefs,platformId
RC-F01,Define the research-system architecture contract,"Distinguish the inspected autoresearch baseline from proposed Research Continuum extensions; define the question–hypothesis–evidence graph, study and publication contracts, protected evaluation, domain-adapter seams, durable campaign/recovery model, isolation boundaries, allocation rules, local-first scale gates, cross-lab portability and explicit nonclaims with primary-source grounding.",historical foundation,0,foundation,[],"Distinguish the inspected autoresearch baseline from proposed Research Continuum extensions; define the question–hypothesis–evidence graph, study and publication contracts, protected evaluation, domain-adapter seams, durable campaign/recovery model, isolation boundaries, allocation rules, local-first scale gates, cross-lab portability and explicit nonclaims with primary-source grounding.","[""RC-F01""]","[""OWNER-LAUNCH-2026-09-07""]",Historical documentation/tooling acceptance only; not runtime or scientific completion.,DONE,"[""plan/lineage/architecture-foundation-2026-09-07/STATUS.md""]",tsk_b6365a2b85d8e55303e4f96d5a5803ce
RC-F02,Convert the vision into an outcome and dependency roadmap,"Prepend Wave 0, preserve all original Waves 1–8 and their 24 task IDs, acceptance text, dependency logic and gates, identify capacity and human/hardware/licensing decisions, and define stop, pivot, scale and replan conditions without speculative dates.",historical foundation,0,foundation,"[""RC-F01""]","Prepend Wave 0, preserve all original Waves 1–8 and their 24 task IDs, acceptance text, dependency logic and gates, identify capacity and human/hardware/licensing decisions, and define stop, pivot, scale and replan conditions without speculative dates.","[""RC-F02""]","[""OWNER-LAUNCH-2026-09-07""]",Historical documentation/tooling acceptance only; not runtime or scientific completion.,DONE,"[""plan/lineage/architecture-foundation-2026-09-07/STATUS.md""]",tsk_8f1b2a7a99567236bb722181d372424f
RC-F03,Make the next work packet executable and validate the repository plan,"Provide a standard-library validation command that checks task identity, status, documentation parity, dependency existence/order, DAG acyclicity, wave coverage and navigation links; prove its negative self-test detects an invalid plan; specify one RC-001 packet that can run locally without paid compute, model weights or dataset downloads.",historical foundation,0,foundation,"[""RC-F02""]","Provide a standard-library validation command that checks task identity, status, documentation parity, dependency existence/order, DAG acyclicity, wave coverage and navigation links; prove its negative self-test detects an invalid plan; specify one RC-001 packet that can run locally without paid compute, model weights or dataset downloads.","[""RC-F03""]","[""OWNER-LAUNCH-2026-09-07""]",Historical documentation/tooling acceptance only; not runtime or scientific completion.,DONE,"[""plan/lineage/architecture-foundation-2026-09-07/STATUS.md""]",tsk_6721de0c0efb411bb9e161a3f618af54
RC-W01-T01,Record the independently authored numerical baseline,Researchers can record the independently authored numerical baseline.,study contract,1,0.1,"[""RC-F03""]",Source records distinguish the exact autoresearch inspiration and unresolved reuse rights from original numerical code; no unrelated comparison is claimed.,"[""RC-001"", ""RC-002"", ""RC-015""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Study changes after results or deterministic repeats presented as independent evidence; retain dated protocol and independent analytic checks.,IMPLEMENTED,"[""docs/baselines/autoresearch-2026-09-07.md"", ""evidence/source-retrievals.json""]",tsk_ff17008788c2a266ef834ea928c17b00
RC-W01-T02,Freeze the question and its falsifier,Researchers can freeze the question and its falsifier.,study contract,1,0.1,"[""RC-W01-T01""]","The accepted example names question, hypothesis and adverse/null conditions before results; a post-result edit requires a new revision.","[""RC-001"", ""RC-002"", ""RC-015""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Study changes after results or deterministic repeats presented as independent evidence; retain dated protocol and independent analytic checks.,IMPLEMENTED,"[""docs/decisions/001-numerical-study.md"", ""docs/decisions/002-durable-local-campaign.md"", ""examples/rosenbrock-study.json""]",tsk_cdf6e5cabee8740c5b4bf3cbc31e3e90
RC-W01-T03,Bound the objective and lawful fixture,Researchers can bound the objective and lawful fixture.,study contract,1,0.1,"[""RC-W01-T01""]",The declared rectangle contains the analytic zero and nonzero control; unknown objectives and domains outside the supported envelope are rejected.,"[""RC-001"", ""RC-002"", ""RC-015""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Study changes after results or deterministic repeats presented as independent evidence; retain dated protocol and independent analytic checks.,AUTOMATED PASS,"[""docs/decisions/001-numerical-study.md"", ""docs/decisions/002-durable-local-campaign.md"", ""examples/rosenbrock-study.json"", ""tests/test_numerical.py"", ""evidence/runtime/automated-checks.json""]",tsk_c2b226dd82073c555dac68c9ab795444
RC-W01-T04,Specify both search policies completely,Researchers can specify both search policies completely.,study contract,1,0.1,"[""RC-W01-T01""]","Start, coordinate order, clipping, improvement rule, step changes and random generator are fixed; two readers can derive the same first proposals.","[""RC-001"", ""RC-002"", ""RC-015""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Study changes after results or deterministic repeats presented as independent evidence; retain dated protocol and independent analytic checks.,AUTOMATED PASS,"[""docs/decisions/001-numerical-study.md"", ""docs/decisions/002-durable-local-campaign.md"", ""examples/rosenbrock-study.json"", ""tests/test_numerical.py"", ""evidence/runtime/automated-checks.json""]",tsk_1e092820eeaff33ad774c3e3708cadd5
RC-W01-T05,Declare seed partitions and feedback,Researchers can declare seed partitions and feedback.,study contract,1,0.1,"[""RC-W01-T01""]",Development and confirmation seeds are disjoint and fixed; each policy sees only its own scalar feedback and starts fresh per run.,"[""RC-001"", ""RC-002"", ""RC-015""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Study changes after results or deterministic repeats presented as independent evidence; retain dated protocol and independent analytic checks.,AUTOMATED PASS,"[""docs/decisions/001-numerical-study.md"", ""docs/decisions/002-durable-local-campaign.md"", ""examples/rosenbrock-study.json"", ""tests/test_numerical.py"", ""evidence/runtime/automated-checks.json""]",tsk_e6467dccdcb8eb78de78bd651398a487
RC-W01-T06,Freeze comparison and quality criteria,Researchers can freeze comparison and quality criteria.,study contract,1,0.1,"[""RC-W01-T01""]",The descriptive median rule and quality threshold are fixed; equal or worse candidate results falsify the hypothesis and missing runs are inconclusive.,"[""RC-001"", ""RC-002"", ""RC-015""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Study changes after results or deterministic repeats presented as independent evidence; retain dated protocol and independent analytic checks.,AUTOMATED PASS,"[""docs/decisions/001-numerical-study.md"", ""docs/decisions/002-durable-local-campaign.md"", ""examples/rosenbrock-study.json"", ""tests/test_numerical.py"", ""evidence/runtime/automated-checks.json""]",tsk_41db721d5e9e90b25537b9f9202f7624
RC-W01-T07,State dependence and scientific limits,Researchers can state dependence and scientific limits.,study contract,1,0.1,"[""RC-W01-T01""]","Documentation identifies deterministic candidate repetitions as implementation checks, and excludes significance, novelty and generality claims.","[""RC-001"", ""RC-002"", ""RC-015""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Study changes after results or deterministic repeats presented as independent evidence; retain dated protocol and independent analytic checks.,IMPLEMENTED,"[""docs/decisions/001-numerical-study.md"", ""docs/decisions/002-durable-local-campaign.md"", ""examples/rosenbrock-study.json""]",tsk_0503fb01a2dfde197c56113155073f31
